goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
CAP 帽子,EJ7422,¥399,0,深蓝,"['OSFW', 'OSFM']","[' 这款帽子，由adidas联手时尚界新星Ji Won Choi崔智苑共同设计，采用简约斜纹棉布打造。含长后带，造型摩登典雅。帽檐带预成型弧度，靓丽讨喜。 ', '棉', '预成型弧形帽檐', '长后带']","['https://img.adidas.com.cn/resources/2019/1/29/15487444573126533_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444511683306_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444592867377_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444485235572_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/1548744462366599_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444547498920_2000X2000.jpg']",中性  ORIGINALS,22,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/18', 'goods_comment_comment': '很满意，质量也很好，看见不多了果断下手'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/06', 'goods_comment_comment': '强烈建议写上产地和该款尺寸明细！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/28', 'goods_comment_comment': '很棒哦！还好还好哈还好还好哈哈哈哈(ಡ&omega;ಡ)hiahiahia'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/27', 'goods_comment_comment': '帽子尺寸很合适 也可以自己调节大小 带着非常有时尚感 就后面两根绳子不太会系'}]",/item/EJ7422
REVERSIBLE CAP 帽子,DU6972,¥349,0,常春藤绿/黑,"['OSFW', 'OSFM']","[' 换心情，换造型。这款帽子，帽檐别致，旨在方便翻面。两面均可穿戴，并饰有醒目NMD标志。 ', '别致帽檐', '魔术贴粘扣设计']","['https://img.adidas.com.cn/resources/2019/1/29/15487478713573056_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478623612783_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478605317159_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478656421463_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478684972587_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478581344875_2000X2000.jpg']",中性  ORIGINALS,23,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '实物好像有点偏绿啊，虽然不是很绿的那种，绿帽子好像有点尴尬，能戴吗？'}]",/item/DU6972
RECYCLED CAP 帽子,DV0257,¥399,0,黑,['OSFM'],"[' 造型时尚，同时力求环保。这款时尚的五片式帽子，采用再生网材和杂色斜纹布面料，正面饰简约三叶草徽标。 ', '帽舌和前幅片：再生杂色斜纹布；侧幅：再生聚酯纤维', '乙烯/乙酸乙烯酯（EVA）帽檐', '五片式结构', '可调节搭扣']","['https://img.adidas.com.cn/resources/2019/1/11/15472034090018518_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034228958665_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034143646302_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034165934199_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034118601123_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034189501682_2000X2000.jpg']",中性  ORIGINALS,24,men,0,[],/item/DV0257
SB CLASSIC TRE 帽子,DV0176,¥249,0,黑/白,"['OSFW', 'OSFM']","[' 力求展现你的adidas元气。这款平檐帽子，承袭adidas Originals经典风格，正面缀大号刺绣三叶草徽标。采用拉伸棉质面料，搭配可调节按扣，佩戴舒适。 ', '棉', '平檐', '可调节按扣带', '浮面刺绣三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/25/15535036099047852_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036141643508_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036080649453_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036115567587_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036170621479_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036047646451_2000X2000.jpg']",中性  ORIGINALS,25,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子不错买了一定就是有点热，合适冬天带，'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子不错买了一定就是有点热，合适冬天带，'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/20', 'goods_comment_comment': '是的，很好看，下次试试那款新帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/22', 'goods_comment_comment': '不错不错，要是有金标的就更好看了！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/16', 'goods_comment_comment': '帽子非常好看，质量也好，适合出门旅行，酷'}]",/item/DV0176
SAMSTAG ARC CAP 帽子,DU6799,¥349,0,红/青蓝,['OSFM'],"[' 这款棉质帽子，来自Samstag系列，带来复古意大利运动服饰的休闲造型。采用经典斜纹布打造，缀金色金属三叶草别章，后按扣上方饰弧形刺绣adidas字样。 ', '棉', '平檐', '可调节按扣带', '正面缀金色金属三叶草别章；背面饰刺绣adidas标']","['https://img.adidas.com.cn/resources/2019/3/25/15535036780618590_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036833083443_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036850017261_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036757261792_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036809659012_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535036735217666_2000X2000.jpg']",中性  ORIGINALS,26,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/14', 'goods_comment_comment': '有点好看啊！带上很阳光，很马里奥'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/03/04', 'goods_comment_comment': '偏硬，帽子有点大，是男生的size，但红色很正，金色徽章要自己扣'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/07', 'goods_comment_comment': '不错      。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/25', 'goods_comment_comment': '非常不错。物流也快。很好。会继续支持的'}]",/item/DU6799
RUN CAP 帽子,DT5439,¥429,0,黑,['OSFW'],"[' 2005年就开始与adidas联手的Stella McCartney，继续为这一新款系列带来她的独到眼光。这款帽子，旨在适合户外训练和跑步，侧片激光打孔，佩戴舒适。饰有Stella的应季花卉图案，呈现女性风采，缀反光徽标，展现一抹亮色。 ', '预成型弧形帽檐', '可调式扣带', '激光打孔', 'adidas by Stella McCartney徽标', '反光细节']","['https://img.adidas.com.cn/resources/2019/3/25/15535063479671217_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063572436512_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063521735567_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063600583468_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063495911280_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535063547801113_2000X2000.jpg']",女子  adidas by Stella McCartney,27,men,0,[],/item/DT5439
AC CAP TRE FLAT 帽子,DV0236,¥299,0,黑/白,"['OSFW', 'OSFM']","[' 轻松易搭，适合出街。这款平檐帽，采用水洗棉斜纹布打造，旨在呈现休闲仿旧气质。缀三叶草绣章，更添型格。配简约按扣后带，方便调节。 ', '棉', '平檐', '可调节按扣带']","['https://img.adidas.com.cn/resources/2019/3/25/15535038033274783_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038016397192_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038114474767_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038085749760_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038057896012_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535038133387322_2000X2000.jpg']",中性  ORIGINALS,28,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '挺好的帽子，穿着还是很合适很舒服的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/12', 'goods_comment_comment': '好好好好好好好好好好好好好好好'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/09', 'goods_comment_comment': '非常好好好好好好好好好好好好好'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/16', 'goods_comment_comment': '帽子很好看，戴着舒服！完美！！！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/02', 'goods_comment_comment': '帅到掉渣的一顶帽子舒服的很呢就喜欢ad'}]",/item/DV0236
H90 LOGO CAP 运动帽,CF4869,¥149,0,黑/黑/四度灰,"['OSFW', 'OSFM']","[' 这款运动帽子，设计清爽，造型日常。配可调式按扣背带，高冠型设计，含Climalite汗带。 ', 'Climalite汗带', '高冠型', '低弧度弧形帽檐', '可调节按扣带', '正面缀刺绣adidas运动徽标']","['https://img.adidas.com.cn/resources/2018/3/22/15217121024875992_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/3/22/15217121053612541_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/3/22/15217120981558924_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/3/22/15217120957652055_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/3/22/15217120999843729_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/3/22/15217121079332175_2000X2000.jpg']",中性  运动表现  训练,29,men,0,"[{'goods_comment_star': 3, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '那个吸汗边的位置其实有点闷，不推荐长时间戴着'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/20', 'goods_comment_comment': '给弟弟买的  他很喜欢  现在戴正好'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/19', 'goods_comment_comment': '外观好，尺码正，质量优，很满意！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/08/20', 'goods_comment_comment': '很好。。。。。。。。。。。。。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/08/19', 'goods_comment_comment': '质量不错，是阿迪达斯的正品，就是偏大'}]",/item/CF4869
R96 CC CAP 运动帽,CF9627,¥199,0,白/白/白,"['OSFW', 'OSFM']","[' 这款帽子，伴你在骄阳下奔跑。采用Climacool清风面料。帽后配可调节搭扣。饰有反光细节。 ', 'Climacool清风面料，力求适合暖季', '中弧度预成型弧形帽檐', '可调节搭扣式背带', '反光细节']","['https://img.adidas.com.cn/resources/2018/4/2/15226658760142255_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658697177869_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/1522665874175702_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658715232294_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658788756989_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/4/2/15226658664297866_2000X2000.jpg']",中性  运动表现  跑步,30,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/07/31', 'goods_comment_comment': '很好哦，好看。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/07/15', 'goods_comment_comment': '帽子质量好,大小适中,很满意,值得购买'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/07/04', 'goods_comment_comment': '很好很帅，丈人很喜欢！价格也实惠！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/06/30', 'goods_comment_comment': '很好不错的帽子，很值得带出去玩'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/05/09', 'goods_comment_comment': '戴上显着头有点塌，因为没有支撑，透气性应该不错。'}]",/item/CF9627
LK GRAPHIC CAP 儿童帽,DW4758,¥129,0,学院藏青蓝/红/白,['OSFC'],"[' 这款小童帽，力求伴孩子在骄阳下开心玩耍。采用棉质斜纹布打造，配预成型弧形帽檐，力求为造型增添运动风范。另配后搭扣，方便调节。 ', '预成型弧形帽檐', '可调节按扣搭扣', '旨在适合艳阳天佩戴', '内置品牌标接缝饰带', '正面缀梭织adidas运动徽标', '棉']","['https://img.adidas.com.cn/resources/2019/3/7/15519583617358792_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583566138916_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551958352267104_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583542904102_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583584061597_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583496588402_2000X2000.jpg']",男童  运动表现  训练,31,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/26', 'goods_comment_comment': '脑子带上非常好看。质量很好。物有所值'}]",/item/DW4758
