goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike ACG,AV4775-011,￥199,￥0,黑/黑/黑/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 黑/黑/黑/黑', '款式： AV4775-011']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/baitzbze1b2vd8bdlzsx/acg-针织帽-nNWB5x.jpg'],针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-011
Nike ACG,AV4775-583,￥199,￥0,原子紫/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 原子紫/黑', '款式： AV4775-583']","['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/zsimw3yiaqljlsa4xf8e/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/a6tfbuc1p679rgxbgpod/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/kbetxyz6xblbe9exjiom/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/jrsgdi9ikbspwvnn6ss8/acg-针织帽-nNWB5x.jpg']",针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-583
Nike ACG,AV4775-416,￥199,￥0,赛车蓝/灯草粉,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 赛车蓝/灯草粉', '款式： AV4775-416']","['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mflobeul6snurfexieyn/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/hkyk849iadgnxptojt5y/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/empggmkja5y1ihj2nwje/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/pu5vy4wt41pwbsfjqiic/acg-针织帽-nNWB5x.jpg']",针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-416
Nike ACG,AV4775-741,￥199,￥0,阿马里洛黄/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 阿马里洛黄/黑', '款式： AV4775-741']","['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/flt5pmowkmuokwthgqqu/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ahdicbqi0cphzq7d7r2m/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/emmahxsatytigenwc9bk/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ckvie1zbwmfg9wwngpoi/acg-针织帽-nNWB5x.jpg']",针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-741
Nike ACG,AV4775-819,￥199,￥0,安全橙/哈瓦那红,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 安全橙/哈瓦那红', '款式： AV4775-819']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/yqpefuplst4ymxpzn33w/acg-针织帽-nNWB5x.jpg'],针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-819
Nike ACG,AV4775-121,￥199,￥0,顶峰白/飞行员灰,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 顶峰白/飞行员灰', '款式： AV4775-121']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nehy2nxrldpivxcuodwq/acg-针织帽-nNWB5x.jpg'],针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-121
Nike ACG,AV4775-701,￥199,￥0,微黄绿/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 微黄绿/黑', '款式： AV4775-701']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/vnmutokg2plxjlapjn5r/acg-针织帽-nNWB5x.jpg'],针织帽,9,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x
NikeLab ACG,AV4774-395,￥349,￥0,帆布橄榄绿/白色/光辉荧光黄,['均码'],"['为运动而生，动态贴合', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 帆布橄榄绿/白色/光辉荧光黄', '款式： AV4774-395', '关于 NikeLab ACG 系列']","['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/r8y6zhbmezmhelnplbhb/nikelab-acg-针织帽-6LMtmt.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/aulsepq1rj4cqmqaoxzr/nikelab-acg-针织帽-6LMtmt.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/k9flnbvofd4n0gnc0mwy/nikelab-acg-针织帽-6LMtmt.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/f7glgibvgdymcvrha5oj/nikelab-acg-针织帽-6LMtmt.jpg']",针织帽,8,womens,2,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt/AV4774-395
NikeLab ACG,AV4774-010,￥349,￥0,黑/赭黄/白,['均码'],"['为运动而生，动态贴合', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 黑/赭黄/白色', '款式： AV4774-010', '关于 NikeLab ACG 系列']","['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bef6vpbtdrzuqlazxefm/nikelab-acg-针织帽-6LMtmt.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/unhuvwothxqzhuinuupw/nikelab-acg-针织帽-6LMtmt.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/tuiz1vrcgvyzjuykbm4u/nikelab-acg-针织帽-6LMtmt.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/zn2zka1bikcbu9n53z9s/nikelab-acg-针织帽-6LMtmt.jpg']",针织帽,8,womens,2,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt
Nike Legacy 91,892651-100,￥159,￥0,白色/煤黑/黑,['均码'],"['专属舒适', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣孔眼，提升透气效果', '后部激光穿孔的魔术贴粘扣设计，打造专属的干爽舒适体验', '产品细节', '面料/前片拼接（正面）：100% 聚酯纤维。前片拼接（背面）：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/煤黑/黑', '款式： 892651-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/kv7cuvxetbdo45lcupui/legacy-91-可调节高尔夫运动帽-8gVL7w.jpg'],可调节高尔夫运动帽,7,womens,2,https://www.nike.com/cn/t/legacy-91-%E5%8F%AF%E8%B0%83%E8%8A%82%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-8gVL7w
