goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike ACG,AV4775-583,￥199,￥0,原子紫/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 原子紫/黑', '款式： AV4775-583']","['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/zsimw3yiaqljlsa4xf8e/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/a6tfbuc1p679rgxbgpod/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/kbetxyz6xblbe9exjiom/acg-针织帽-nNWB5x.jpg', 'https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/jrsgdi9ikbspwvnn6ss8/acg-针织帽-nNWB5x.jpg']",针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-583
NikeCourt AeroBill Featherlight,679421-454,￥159,￥0,黑曜石色/黑/黑/白,['均码'],"['减少眩光，透气舒适', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性', '网眼拼接设计，提升透气性', '背面可调节扣合设计，打造专属贴合感', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 黑曜石色/黑/黑/白色', '款式： 679421-454']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/pvau3mcverns3exs0o1z/nikecourt-aerobill-featherlight-网球运动帽-tqlqB4.jpg'],网球运动帽,17,mens,1,https://www.nike.com/cn/t/nikecourt-aerobill-featherlight-%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-tqlqB4
NikeCourt AeroBill Rafa Heritage86,850666-101,￥169,￥0,白色/黑,['均码'],"['舒适透气，玩转赛场', '其他细节', 'Nike AeroBill 技术有助导湿速干，营造轻盈透气效果', '针织汗带，有助导湿', '背面可调式扣合设计，稳固贴合', '产品细节', '刺绣孔眼', '刺绣公牛标志', '面料/里料/帽檐：100% 聚酯纤维', '手洗', '显示颜色： 白色/黑', '款式： 850666-101']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ktp2dmrcxf9uuczo2kos/nikecourt-aerobill-rafa-heritage86-网球运动帽-kqt2Rp.jpg'],网球运动帽,16,mens,1,https://www.nike.com/cn/t/nikecourt-aerobill-rafa-heritage86-%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-kqt2Rp
NikeCourt Featherlight,679421-100,￥159,￥0,白色/黑/白色/黑,['均码'],"['透气舒适，激战制霸', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/黑/白色/黑', '款式： 679421-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c1distcx60p7ehawjube/nikecourt-featherlight-可调节网球运动帽-JRgqLH.jpg'],可调节网球运动帽,15,mens,1,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-JRgqLH
NikeCourt AeroBill Rafa Heritage86,850666-010,￥169,￥0,黑/白,['均码'],"['轻盈包覆', '其他细节', 'AeroBill 技术有助排汗，营造轻盈透气感受', '优质汗带，有效吸汗', '刺绣孔眼，有效提升透气性', '黑色下帽沿设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '可机洗', '显示颜色： 黑/白色', '款式： 850666-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/q9wsvqzmtkrpegd2agne/nikecourt-aerobill-rafa-heritage86-网球运动帽-4tKQtl.jpg'],网球运动帽,14,mens,1,https://www.nike.com/cn/t/nikecourt-aerobill-rafa-heritage86-%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-4tKQtl
Nike SB,CI4460-100,￥199,￥0,白色/苍野灰/白,['均码'],"['经典滑板运动帽', '其他细节', '斜纹面料，塑就纹理外观和质感', '按扣式扣合设计，可供自由调节贴合效果', '正面绣有 Nike SB 标志', '刺绣孔眼，提升透气性', '产品细节', '面料：100% 棉。网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 白色/苍野灰/白色', '款式： CI4460-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/vpqd2lky2dkzwz7tqqme/sb-滑板运动帽-M91PSj.jpg'],滑板运动帽,13,mens,1,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-M91PSj/CI4460-100
Nike SB,CI4460-010,￥199,￥0,黑/煤黑/黑,['均码'],"['经典滑板运动帽', '其他细节', '斜纹面料，塑就纹理外观和质感', '按扣式扣合设计，可供自由调节贴合效果', '正面绣有 Nike SB 标志', '刺绣孔眼，提升透气性', '产品细节', '面料：100% 棉。网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 黑/煤黑/黑', '款式： CI4460-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/f5hvjlb3lbqqbdc3u0k6/sb-滑板运动帽-M91PSj.jpg'],滑板运动帽,13,mens,1,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-M91PSj
Nike SB Icon,628683-013,￥169,￥0,黑/黑/黑/白,['均码'],"['现代风范，专属舒适体验', '其他细节', '六片式拼接设计巧搭衬里接缝镶边，舒适耐久', '拼接各片均融入刺绣孔眼设计，增强透气性', '正面 3D 刺绣元素，格调非凡', '背面按扣设计，打造可调节的舒适贴合感', '产品细节', '面料/前片拼接（正面）：100% 聚酯纤维。前片拼接（背面）：80% 聚酯纤维/20% 棉。下帽檐：100% 棉。', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 628683-013']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/pi7gvej8viyvbwlaut7g/sb-icon-可调节运动帽-xCpZvS.jpg'],可调节运动帽,12,mens,1,https://www.nike.com/cn/t/sb-icon-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-xCpZvS
Nike SB,AV7883-222,￥169,￥0,中橄榄绿,['均码'],"['迷彩设计，经典外观', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 中橄榄绿', '款式： AV7883-222']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fqpll7v77dhjxypql77u/sb-trucker-滑板运动帽-VvJPQr.jpg'],Trucker 滑板运动帽,11,mens,1,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-VvJPQr
Nike SB,AV7883-248,￥169,￥0,沙漠矿石黄,['均码'],"['迷彩设计，经典外观', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 沙漠矿石黄', '款式： AV7883-248']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/l07vqbhhjln4mpwnhhur/sb-trucker-滑板运动帽-wWP9M0.jpg'],Trucker 滑板运动帽,10,mens,1,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-wWP9M0
