goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
NikeLab Pro,AV4781-277,￥199,￥0,麦芽棕/暗褐,['均码'],"['工装风格', '其他细节', '背面扣带设计，可供调节贴合感', '高帽冠设计，塑就经典外观', '帽身主体采用帆布面料，耐用柔软', '灯芯绒帽檐，带来对比效果', '产品细节', '面料：100% 棉。前片拼接（背面）：92% 聚酯纤维/8% 棉。', '手洗', '显示颜色： 麦芽棕/暗褐', '款式： AV4781-277']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/cozvqh0fwzaejifr8cxp/nikelab-pro-运动帽-407n5F.jpg'],运动帽,4,mens,1,https://www.nike.com/cn/t/nikelab-pro-%E8%BF%90%E5%8A%A8%E5%B8%BD-407n5F
Nike ACG,AV4775-416,￥199,￥0,赛车蓝/灯草粉,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 赛车蓝/灯草粉', '款式： AV4775-416']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mflobeul6snurfexieyn/acg-针织帽-nNWB5x.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-416
Nike Featherlight Nathan Bell,AV7772-010,￥179,￥0,黑,['均码'],"['轻盈包覆', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性', '背面可调式扣合设计，缔造稳固贴合感', '内置汗带，有助导湿速干', '激光穿孔设计，打造出色透气性', 'Nathan Bell 设计手绘图案', '产品细节', '面料/里料：100% 聚酯纤维', '可机洗', '显示颜色： 黑', '款式： AV7772-010', '关于本系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/cyolmckdpijkssgjbzyb/featherlight-nathan-bell-印花跑步运动帽-hCdCdq.jpg'],印花跑步运动帽,3,womens,2,https://www.nike.com/cn/t/featherlight-nathan-bell-%E5%8D%B0%E8%8A%B1%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-hCdCdq/AV7772-010
NikeLab ACG,AV4774-395,￥349,￥0,帆布橄榄绿/白色/光辉荧光黄,['均码'],"['为运动而生，动态贴合', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 帆布橄榄绿/白色/光辉荧光黄', '款式： AV4774-395', '关于 NikeLab ACG 系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/r8y6zhbmezmhelnplbhb/nikelab-acg-针织帽-6LMtmt.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt/AV4774-395
Nike,AC3740-964,￥189,￥0,多色/白色/白色/黑,['均码'],"['保持专注', '其他细节', '硅胶抓附设计帮助整束头发，为你缔造心无旁骛的运动体验', '产品细节', '周长：约\xa044 厘米', '宽度：约 1.15 厘米', '材质：聚酯纤维/二烯类弹性纤维/硅胶', '显示颜色： 多色/白色/白色/黑', '款式： AC3740-964']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/txmlxwgbcgwu7oxfzfaq/印花头带（6-条）-B2kR43.jpg'],印花头带（6 条）,6,womens,2,https://www.nike.com/cn/t/%E5%8D%B0%E8%8A%B1%E5%A4%B4%E5%B8%A6%EF%BC%886-%E6%9D%A1%EF%BC%89-B2kR43
Nike ACG,AV4775-741,￥199,￥0,阿马里洛黄/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 阿马里洛黄/黑', '款式： AV4775-741']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/flt5pmowkmuokwthgqqu/acg-针织帽-nNWB5x.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-741
Nike Featherlight Nathan Bell,AV7772-010,￥179,￥0,黑,['均码'],"['轻盈包覆', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性', '背面可调式扣合设计，缔造稳固贴合感', '内置汗带，有助导湿速干', '激光穿孔设计，打造出色透气性', 'Nathan Bell 设计手绘图案', '产品细节', '面料/里料：100% 聚酯纤维', '可机洗', '显示颜色： 黑', '款式： AV7772-010', '关于本系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/cyolmckdpijkssgjbzyb/featherlight-nathan-bell-印花跑步运动帽-hCdCdq.jpg'],印花跑步运动帽,9,mens,1,https://www.nike.com/cn/t/featherlight-nathan-bell-%E5%8D%B0%E8%8A%B1%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-hCdCdq/AV7772-010
Jordan Jumpman,AC4093-010,￥119,￥0,黑/白,['均码'],"['弹力舒适', '产品细节', '面料：96% 锦纶/4% 二烯类弹性纤维', '可机洗', '显示颜色： 黑/白色', '款式： AC4093-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/pp8vwnkyj7m77jafwus7/jordan-jumpman-头带（1-条）-pvTjMRB8.jpg'],头带（1 条）,6,mens,1,https://www.nike.com/cn/t/jordan-jumpman-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-pvTjMRB8/AC4093-010
Nike Sportswear Tailwind,AV4783-010,￥199,￥0,黑/迷彩绿,['均码'],"['时尚设计，轻盈舒适', '其他细节', '不易撕裂面料，轻盈耐用', '产品细节', 'Carhartt 品牌标志', '面料：100% 棉。上帽檐/拼接：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/迷彩绿', '款式： AV4783-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bvvrq4upbvnbnzlvjevj/sportswear-tailwind-迷彩运动帽-cNPSDt.jpg'],迷彩运动帽,22,womens,2,https://www.nike.com/cn/t/sportswear-tailwind-%E8%BF%B7%E5%BD%A9%E8%BF%90%E5%8A%A8%E5%B8%BD-cNPSDt
Nike Classic99,AJ5499-010,￥169,￥0,黑/煤黑/白,['均码'],"['经典舒适，为球场而生', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣眼孔营造出色的空气流通效果', '纹理面料融入氨纶，可自如伸展，缔造专属贴合感', '汗带设计，柔软导湿', '产品细节', '魔术贴粘扣', '面料：90% 聚酯纤维/10% 氨纶。前片拼接（背面）：100% 聚酯纤维。\xa0 \xa0', '手洗', '显示颜色： 黑/煤黑/白色', '款式： AJ5499-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/phhrilvndkbb1ti1f4yi/classic99-高尔夫运动帽-Ct0jRB.jpg'],高尔夫运动帽,16,mens,1,https://www.nike.com/cn/t/classic99-%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-Ct0jRB
