goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike ACG,BV1046-634,￥249,￥0,哈瓦那红/力量蓝/黑/黑,['均码'],"['时尚设计，轻盈舒适', '其他细节', '塔夫绸面料，轻盈顺滑', '可调式背面扣带，打造个性贴合体验', '产品细节', '刺绣图案', '面料：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 哈瓦那红/力量蓝/黑/黑', '款式： BV1046-634']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/cwcaafaohygvrgdulso3/acg-tailwind-运动帽-qzVFpL.jpg'],Tailwind 运动帽,34,mens,1,https://www.nike.com/cn/t/acg-tailwind-%E8%BF%90%E5%8A%A8%E5%B8%BD-qzVFpL/BV1046-634
Nike Sportswear Featherlight,CD6330-100,￥229,￥0,白色/队橙,['均码'],"['非凡舒适透气性能', '其他细节', '轻盈面料，舒适透气', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/队橙', '款式： CD6330-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/vlwxaej4sv5ugmtxiyis/sportswear-featherlight-可调节运动帽-XJS2mD.jpg'],可调节运动帽,32,womens,2,https://www.nike.com/cn/t/sportswear-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-XJS2mD/CD6330-100
Nike NRG AW84,882767-101,￥229,￥0,白色/黑/白色/白,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑/白色/白色', '款式： 882767-101']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/wyehzsgppc9qugerpqik/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,50,womens,2,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-101
Nike Metal Swoosh H86,943092-100,￥149,￥0,白色/金属银,['均码'],"['专属舒适', '其他细节', '六片式拼接设计巧搭衬里镶边', '刺绣孔眼，增强透气性', '可调式扣合设计，缔造专属贴合感', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/金属银', '款式： 943092-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/emiqdasy1pqerhnkynvw/metal-swoosh-h86-可调节运动帽-2znZzt.jpg'],可调节运动帽,31,womens,2,https://www.nike.com/cn/t/metal-swoosh-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2znZzt/943092-100
Nike Sportswear Heritage 86,913011-442,￥169,￥0,半蓝,['均码'],"['专属舒适', '其他细节', '背面可调式扣带打造个性化的贴合感', '经典六片式拼接设计，经久耐用', '刺绣孔眼营造出色的空气流通效果', '产品细节', '面料：100% 棉。里料：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 半蓝', '款式： 913011-442']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ubx3ypnhwvk3qf7g7gwb/sportswear-heritage-86-可调节运动帽-v79Td2.jpg'],可调节运动帽,30,womens,2,https://www.nike.com/cn/t/sportswear-heritage-86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-v79Td2/913011-442
Nike Metal Swoosh H86,943092-010,￥149,￥0,黑/金属银,['均码'],"['专属舒适', '其他细节', '六片式拼接设计巧搭衬里镶边', '刺绣孔眼，增强透气性', '可调式扣合设计，缔造专属贴合感', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 黑/金属银', '款式： 943092-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/noozabhlunzsxclaqqpe/metal-swoosh-h86-可调节运动帽-2znZzt.jpg'],可调节运动帽,31,mens,1,https://www.nike.com/cn/t/metal-swoosh-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2znZzt/943092-010
Nike ACG,AV4775-741,￥199,￥0,阿马里洛黄/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 阿马里洛黄/黑', '款式： AV4775-741']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/flt5pmowkmuokwthgqqu/acg-针织帽-nNWB5x.jpg'],针织帽,25,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-741
Nike Metal Swoosh H86,943092-663,￥149,￥0,泡沫粉,['均码'],"['专属舒适', '其他细节', '六片式拼接设计巧搭衬里镶边', '刺绣孔眼，增强透气性', '可调式扣合设计，缔造专属贴合感', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 泡沫粉', '款式： 943092-663']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/j7s5boqyutulhztuyj0y/metal-swoosh-h86-可调节运动帽-2znZzt.jpg'],可调节运动帽,31,womens,2,https://www.nike.com/cn/t/metal-swoosh-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2znZzt/943092-663
Nike Sportswear Mesh,BV3363-470,￥229,￥0,深宝蓝,['均码'],"['趣味十足', '其他细节', '塔夫绸面料，轻盈耐用', '网眼侧拼接，提升透气性', '筒状设计，帮助减少阳光照晒面部', '产品细节', '面料/里料：100% 锦纶。网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 深宝蓝', '款式： BV3363-470']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/jipdhssxd7sxt4vqopka/sportswear-mesh-渔夫运动帽-xcjNVP.jpg'],渔夫运动帽,33,mens,1,https://www.nike.com/cn/t/sportswear-mesh-%E6%B8%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-xcjNVP/BV3363-470
Nike Sportswear Heritage 86,913011-891,￥169,￥0,队橙,['均码'],"['专属舒适', '其他细节', '背面可调式扣带打造个性化的贴合感', '经典六片式拼接设计，经久耐用', '刺绣孔眼营造出色的空气流通效果', '产品细节', '面料：100% 棉。里料：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 队橙', '款式： 913011-891']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/r3upomdmeok5jbmidceg/sportswear-heritage-86-可调节运动帽-v79Td2.jpg'],可调节运动帽,30,womens,2,https://www.nike.com/cn/t/sportswear-heritage-86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-v79Td2/913011-891
