产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
CAP 帽子,EJ7422,¥399,0,深蓝,"['OSFW', 'OSFM']","[' 这款帽子，由adidas联手Kylie Jenner凯莉·詹娜共同设计，采用简约斜纹棉布打造。含长后带，造型摩登典雅。帽檐带预成型弧度，靓丽讨喜。 ', '棉', '预成型弧形帽檐', '长后带']","['https://img.adidas.com.cn/resources/2019/1/29/15487444573126533_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444511683306_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444592867377_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444485235572_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/1548744462366599_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487444547498920_2000X2000.jpg']",中性 ORIGINALS,1,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/02/28', 'goods_comment_comment': '很棒哦！还好还好哈还好还好哈哈哈哈(ಡ&omega;ಡ)hiahiahia'}, {'goods_comment_star': 5, 'goods_comment_time': '\n尺码：OSFW', 'goods_comment_comment': '帽子尺寸很合适 也可以自己调节大小 带着非常有时尚感 就后面两根绳子不太会系'}]",https://www.adidas.com.cn/item/EJ7422?locale=zh_CN
REVERSIBLE CAP 帽子,DU6972,¥349,0,常春藤绿/黑,"['OSFW', 'OSFM']","[' 换心情，换造型。这款帽子，帽檐别致，旨在方便翻面。两面均可穿戴，并饰有醒目NMD标志。 ', '别致帽檐', '魔术贴粘扣设计']","['https://img.adidas.com.cn/resources/2019/1/29/15487478713573056_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478623612783_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478605317159_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478656421463_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478684972587_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487478581344875_2000X2000.jpg']",中性 ORIGINALS,2,men,1,[],https://www.adidas.com.cn/item/DU6972?locale=zh_CN
MUFC C40 CAP 曼联帽子,DQ1526,¥149,0,天然红/黑,['OSFM'],"[' 自豪的过去，光明的未来。这款曼联帽子，旨在适合艳阳天佩戴，力求让你尽情观赛。采用棉质斜纹布面料，配汗带，带来舒适体验。含搭扣，可调节松紧。 ', '均码，力求适合多数人使用', '棉', '预成型弧形帽檐', '可调节扣带；扣带缀曼联队徽', 'Climalite汗带', '旨在适合艳阳天', '缀梭织曼联队徽']","['https://img.adidas.com.cn/resources/2019/1/29/15487465756266942_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487465671424039_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487465729118346_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487465774629553_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487465646356450_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/29/15487465702417297_2000X2000.jpg']",中性 足球,3,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/02/17', 'goods_comment_comment': '很好看的曼联红，猪年红红火火，开心'}]",https://www.adidas.com.cn/item/DQ1526?locale=zh_CN
RECYCLED CAP 帽子,DV0257,¥399,0,黑,['OSFM'],"[' 造型时尚，同时力求环保。这款时尚的五片式帽子，采用再生网材和杂色斜纹布面料，正面饰简约三叶草徽标。 ', '帽舌和前幅片：再生杂色斜纹布；侧幅：再生聚酯纤维', '乙烯/乙酸乙烯酯（EVA）帽檐', '五片式结构', '可调节搭扣']","['https://img.adidas.com.cn/resources/2019/1/11/15472034090018518_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034228958665_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034143646302_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034165934199_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034118601123_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472034189501682_2000X2000.jpg']",中性 ORIGINALS,4,men,1,[],https://www.adidas.com.cn/item/DV0257?locale=zh_CN
SB CLASSIC TRE 帽子,DV0176,¥249,0,黑/白,"['OSFW', 'OSFM']","[' 力求展现你的adidas元气。这款平檐帽子，承袭adidas Originals经典风格，正面缀大号刺绣三叶草徽标。采用拉伸棉质面料，搭配可调节按扣，佩戴舒适。 ', '棉', '平檐', '可调节按扣带', '浮面刺绣三叶草徽标']","['https://img.adidas.com.cn/resources/2019/1/11/15472035376083913_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035418929579_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035357405125_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035392594061_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035447747451_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035324486457_2000X2000.jpg']",中性 ORIGINALS,5,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/02/20', 'goods_comment_comment': '是的，很好看，下次试试那款新帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '不错不错，要是有金标的就更好看了！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/22', 'goods_comment_comment': '帽子非常好看，质量也好，适合出门旅行，酷'}]",https://www.adidas.com.cn/item/DV0176?locale=zh_CN
SAMSTAG ARC CAP 帽子,DU6799,¥349,0,红/青蓝,['OSFM'],"[' 这款棉质帽子，来自Samstag系列，带来复古意大利运动服饰的休闲造型。采用经典斜纹布打造，缀金色金属三叶草别章，后按扣上方饰弧形刺绣adidas字样。 ', '棉', '平檐', '可调节按扣带', '正面缀金色金属三叶草别章；背面饰刺绣adidas标']","['https://img.adidas.com.cn/resources/2019/1/11/15472035542497580_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035595304030_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035612205875_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035519138051_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/1547203557127311_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/11/15472035497075806_2000X2000.jpg']",中性 ORIGINALS,6,men,1,"[{'goods_comment_star': 3, 'goods_comment_time': '2019/03/04', 'goods_comment_comment': '偏硬，帽子有点大，是男生的size，但红色很正，金色徽章要自己扣'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '不错      。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/07', 'goods_comment_comment': '非常不错。物流也快。很好。会继续支持的'}]",https://www.adidas.com.cn/item/DU6799?locale=zh_CN
RUN CAP 帽子,DT5439,¥429,0,黑,['OSFW'],"[' 2005年就开始与adidas联手的Stella McCartney，继续为这一新款系列带来她的独到眼光。这款帽子，旨在适合户外训练和跑步，侧片激光打孔，佩戴舒适。饰有Stella的应季花卉图案，呈现女性风采，缀反光徽标，展现一抹亮色。 ', '预成型弧形帽檐', '可调式扣带', '激光打孔', 'adidas by Stella McCartney徽标', '反光细节']","['https://img.adidas.com.cn/resources/2019/1/9/15470310505956220_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310604125267_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310549447323_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310639597743_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310522808990_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/1/9/15470310577872990_2000X2000.jpg']",女子 adidas by Stella McCartney,7,men,1,[],https://www.adidas.com.cn/item/DT5439?locale=zh_CN
AC CAP TRE FLAT 帽子,DV0236,¥299,0,黑/白,"['OSFW', 'OSFM']","[' 轻松易搭，适合出街。这款平檐帽，采用水洗棉斜纹布打造，旨在呈现休闲仿旧气质。缀三叶草绣章，更添型格。配简约按扣后带，方便调节。 ', '棉', '平檐', '可调节按扣带']","['https://img.adidas.com.cn/resources/2018/12/7/15441656692124877_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656674956284_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656773858677_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656744746532_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656717009854_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441656792758587_2000X2000.jpg']",中性 ORIGINALS,8,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/02/16', 'goods_comment_comment': '帽子很好看，戴着舒服！完美！！！！'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFW', 'goods_comment_comment': '帅到掉渣的一顶帽子舒服的很呢就喜欢ad'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/02', 'goods_comment_comment': '帽子戴起来挺好看的，挺喜欢的，不错不错'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '日常服~平常都是穿的三叶草~春节的鞋子在纠结是穿天使还是青花瓷~可惜青花瓷没有女码'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/01/16', 'goods_comment_comment': '原本想买灯心绒的，可是官网没看见就买的这款，也不错'}]",https://www.adidas.com.cn/item/DV0236?locale=zh_CN
6P 3S CAP COTTO 运动帽,DU0197,¥99,0,白/黑/黑,"['OSFW', 'OSFM']","[' 这款帽子采用Climalite面料打造，力求助你保持干爽。背面配可调节按扣，预成型帽檐缀三条纹标志。 ', 'Climalite面料', '中号预成型帽檐缀刺绣三条纹', '背面可调节束带配扣环', '六片式结构', '正面饰adidas绣标', '均码，旨在适合多数人使用']","['https://img.adidas.com.cn/resources/2018/12/7/1544150810947236_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441508091772653_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441508071676987_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441507950757669_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441507996583903_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441508043492170_2000X2000.jpg']",中性 训练,9,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/04/06', 'goods_comment_comment': '时尚潮流非常喜欢，以后常来买衣服鞋子帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/04', 'goods_comment_comment': '我带上有点老容易氧化不过还是不错的'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '喜欢，帽子版型很好ya，材质摸着也还行。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/02', 'goods_comment_comment': '帽子，送给爸爸的。收到说很好。'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '外观好，尺码正，质量优，很满意！'}]",https://www.adidas.com.cn/item/DU0197?locale=zh_CN
C40 6P 3S CLMLT 运动帽,DT8543,¥149,0,传奇墨水蓝/白,"['OSFW', 'OSFM']","[' 旨在适合户外运动的弹力训练帽。含Climalite汗带。背面按扣搭扣调节。 ', 'Climalite汗带', '中弧度预成型弧形帽檐', '背面可调节束带配扣环', '帽檐缀热塑性聚氨酯橡胶（TPU）三条纹', '正面缀浮面adidas运动徽标']","['https://img.adidas.com.cn/resources/2018/12/7/15441510969619994_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441511072415775_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441511021818542_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441511047949414_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441510998604763_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441511088779374_2000X2000.jpg']",中性 训练,10,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/04', 'goods_comment_comment': '这个帽子样式不错，材质也很棒，夏天戴肯定舒服的很'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': 'C40 6P 3S CLMLT 运动帽'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/04', 'goods_comment_comment': '外观好，尺码正，质量优，很满意！'}, {'goods_comment_star': 5, 'goods_comment_time': '\n\t\t\t\t\t\t\t尺码：OSFM', 'goods_comment_comment': '外观好，尺码正，质量优，很满意！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/03', 'goods_comment_comment': '帅到掉渣的一顶帽子舒服的很呢就喜欢ad'}]",https://www.adidas.com.cn/item/DT8543?locale=zh_CN
