产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Highland 6 Panel Trucker,100500023-Energy Yellow,$29.0,$0,Energy Yellow,['One Size'],"['Unstructured 6 panel trucker hat', 'Mid profile crown height with flat visor', 'direct logo embroidery', 'and plastic snap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100500023_EYL_1.jpg?v=1550873529', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100500023_EYL_2.jpg?v=1550873533']",1,men,1,https://obeyclothing.com/products/obey-highland-6-panel-trucker?variant=13857759297597
Loot Trucker Hat,100500021-Black,$29.0,$0,Black,['One Size'],"['Structured 5 panel trucker hat', 'Classic profile crown height with foam backing flat visor', 'foam backing', 'logo screen print and plastic snap closure', '100% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100500021_BLK_1.jpg?v=1550873594', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100500021_BLK_2.jpg?v=1550873599']",2,men,1,https://obeyclothing.com/products/obey-loot-trucker-hat?variant=13857759264829
Impact Snapback,100570095-Black,$29.0,$0,Black,['One Size'],"['Unstructured 5 panel snapback hat', 'Classic profile crown height', 'flat visor', 'direct logo embroidery', 'and plastic snap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570095_BLK_1.jpg?v=1550873801', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570095_BLK_2.jpg?v=1550873811']",3,men,1,https://obeyclothing.com/products/obey-impact-snapback?variant=13857759232061
Struggler Strapback,100570092-Mineral Yellow,$31.0,$0,Mineral Yellow,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height', 'light curved visor', 'PVC logo patch', 'and self fabric strap with metal clasp closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570092_MRL_1.jpg?v=1550873868', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570092_MRL_2.jpg?v=1550873874']",4,men,1,https://obeyclothing.com/products/obey-struggler-strapback?variant=13857759199293
Dropout Snapback,100570091-Forest,$29.0,$0,Forest,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height', 'light curved visor', 'direct logo embroidered at front and back', 'and plastic snap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570091_FOR_1.jpg?v=1550874079', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570091_FOR_2.jpg?v=1550874086']",5,men,1,https://obeyclothing.com/products/obey-dropout-snapback?variant=13857759133757
Dropout Snapback,100570091-Navy,$29.0,$0,Navy,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height', 'light curved visor', 'direct logo embroidered at front and back', 'and plastic snap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570091_NVY_1.jpg?v=1550874092', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570091_NVY_2.jpg?v=1550874097']",5,men,1,https://obeyclothing.com/products/obey-dropout-snapback?variant=13857759166525
Carmal Bucket Hat,100520020-Black Multi,$31.0,$0,Black Multi,['One Size'],"['Unstructured 6 panel bell shape bucket hat', 'Classic profile crown height with flat visor and direct logo embroidery', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100520020_BKM_1.jpg?v=1550874164', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100520020_BKM_2.jpg?v=1550874169']",6,men,1,https://obeyclothing.com/products/obey-carmal-bucket-hat?variant=13857759100989
89 Icon Beanie,100030143-Energy Yellow,$22.0,$0,Energy Yellow,['One Size'],"['Medium height cuffed beanie', 'Jersey knit cuffed beanie with logo embroidered felt patch', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100030143_EYL_1.jpg?v=1550875267', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100030143_EYL_2.jpg?v=1550875274']",7,men,1,https://obeyclothing.com/products/obey-89-icon-beanie?variant=13857759068221
Braniac 6 Panel Strapback,100580197-White Multi,$29.0,$0,White Multi,['One Size'],"['Unstructured 6 panel strapback hat', 'Mid profile crown height', 'flat visor', 'direct logo embroidery', 'and self fabric strap with metal slider closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100580197_WHT_1.jpg?v=1550875393', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100580197_WHT_2.jpg?v=1550875401']",8,men,1,https://obeyclothing.com/products/obey-braniac-6-panel-strapback?variant=13857759035453
