产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
SONOMA HAT,15192004|NAT|ONE,$19.50,$0,NATURAL,['ONE'],"['O-Neill Men-s lifeguard hat', 'Triple stack logo patch', 'Drawcord with cord lock', 'Brim across: 17', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_f.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_1.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_2.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_3.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonoma_15192004_nat_f.jpg?v=1519667672']",1,MENS,1,https://us.oneill.com/collections/mens-hats/products/15192004-nat-sonoma-hat
WETLANDS HAT,SP8192002|KHA|ONE,$26.00,$0,KHAKI,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_f.jpg?v=1513643280', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_3.jpg?v=1513643280', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_1.jpg?v=1513643280', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_b.jpg?v=1513643280', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_2.jpg?v=1513643280']",2,MENS,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-kha-wetlands-hat
WETLANDS HAT,SP8192002|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_f.jpg?v=1513643273', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_3.jpg?v=1513643273', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_1.jpg?v=1513643273', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_blk_b.jpg?v=1513643273', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_2.jpg?v=1513643273']",3,MENS,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-blk-wetlands-hat
WALKER DAD HAT,FA8196007|MGN|ONE,$26.00,$0,MILITARY GREEN,['ONE SIZE'],"['O-Neill Men-s dad hat', 'Garment washed twill', 'Front embroidery, self fabric strap back', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/walkerdadhat_FA8196007_mgn_f.jpg?v=1527881743', 'https://cdn.shopify.com/s/files/1/2034/7683/products/walkerdadhat_FA8196007_mgn_b.jpg?v=1528928947']",4,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196007-mgn-walker-dad-hat
WALKER DAD HAT,FA8196007|NVY|ONE,$26.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s dad hat', 'Garment washed twill', 'Front embroidery, self fabric strap back', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/walkerdadhat_FA8196007_nvy_f.jpg?v=1527881743', 'https://cdn.shopify.com/s/files/1/2034/7683/products/walkerdadhat_FA8196007_nvy_b.jpg?v=1528928953']",5,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196007-nvy-walker-dad-hat
BALDWIN HAT,FA8196001|COF|ONE,$32.00,$0,COFFEE,['ONE SIZE'],"['O-Neill Men-s strapback hat', '6 Pannel, low profile unstructured fit', 'Cotton slub crown, leather visor', 'Leather front patch label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/baldwin_FA8196001_cof_f.jpg?v=1527881751', 'https://cdn.shopify.com/s/files/1/2034/7683/products/baldwin_FA8196001_cof_b.jpg?v=1528927272']",6,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196001-cof-baldwin
MINER TRUCKER HAT,FA8196010|BLK|ONE,$28.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s unstructured trucker hat', 'Low profile, 6 panel design', 'Nylon oxford front and visor', 'Front embroidered patch', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/minertrucker_FA8196010_blk_f.jpg?v=1527881740', 'https://cdn.shopify.com/s/files/1/2034/7683/products/minertrucker_FA8196010_blk_b.jpg?v=1528931862']",7,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196010-blk-miner-trucker
RHYTHM HAT,FA8196005|MGN|ONE,$26.00,$0,MILITARY GREEN,['ONE SIZE'],"['O-Neill Men-s snapback hat', '5 Pannel, mid profile', 'Acrylic wool', 'Front print and flat embroidery, rear flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/rhythm_FA8196005_mgn_f.jpg?v=1527881745', 'https://cdn.shopify.com/s/files/1/2034/7683/products/rhythm_FA8196005_mgn_b.jpg?v=1528928363']",8,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196005-mgn-rhythm
RHYTHM HAT,FA8196005|DCH|ONE,$26.00,$0,ASPHALT,['ONE SIZE'],"['O-Neill Men-s snapback hat', '5 Panel, mid profile structured fit', 'Acrylic wool', 'Front print and flat embroidery, rear flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/rhythm_FA8196005_dch_f.jpg?v=1527881746', 'https://cdn.shopify.com/s/files/1/2034/7683/products/rhythm_FA8196005_dch_b.jpg?v=1528928357']",9,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196005-dch-rhythm
SHOP HAT,FA8196013|WNE|ONE,$26.00,$0,WINE,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Mid profile, structured fit', 'Twill with demask front label', 'Rear flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/shophat_FA8196013_wne_f.jpg?v=1527881734', 'https://cdn.shopify.com/s/files/1/2034/7683/products/shophat_FA8196013_wne_b.jpg?v=1528934321']",10,MENS,1,https://us.oneill.com/collections/mens-hats/products/fa8196013-wne-shop-hat
