产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Mountainside Hat,Style #2369-BRN,$32.00,$0,Brown,['onesize'],"['Six panel mid-profile design with curved visor', 'Adjustable snap back', 'Cotton canvas exterior with mesh back', 'Printed twill patch on crown', 'Woven label on back', 'Printed interior taped seams', '70% cotton, 30% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-1-14d2/b7b11cbc39517b0772230ee0cc5f2459.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-2-5165/df20d84fe3503307c4a70d6e773f1e95.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-3-215a/4f7275ed83e019717a919b885e775955.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-4-d5cb/226a3abb9b291befa1aa06c80946616f.jpg']",23,all,1,https://www.hippytree.com/shop/hats/mountainside-hat/brown/
Flint Beanie,Style #2361-BLU,$28.00,$0,Blue,['onesize'],"['Fold-over knit beanie', 'Yarn dyed stripes', 'Two-tone twisted yarn headband', 'Woven label on headband', '100% acrylic']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/flint-beanie-blue-1-0ad7/1161196d76fb43b79d0e22eba199f4d2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/flint-beanie-blue-2-f47c/5867fa25f12dd891b7626b2aedcc708a.jpg']",19,all,1,https://www.hippytree.com/shop/hats/flint-beanie/blue/
Windsor Beanie,Style #2358-RST,$26.00,$0,Rust,['onesize'],"['Fold-over chunky knit beanie', 'Contrast headband with woven label', '100% acrylic ']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/windsor-beanie-rust-1-4d32/730a3a734dcfee20a2fecb4ae71606ef.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/windsor-beanie-rust-2-ea16/0cc371de48b15cabd6185a27b4f70126.jpg']",21,all,1,https://www.hippytree.com/shop/hats/windsor-beanie/rust/
Fargo Hat,Style #1880-MIL,$38.00,$0,Military,['onesize'],"['Ripstop exterior ', 'Faux fur visor and interior', 'Side pockets with engraved buttons', 'Woven label on ear flap', 'Adjustable chin strap with clip closure', '100% cotton exterior; 50% acrylic, 50% polyester lining']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/fargo-hat-military-1880-MIL-0.jpg-dee0/2003ae3e71b754b97eb0b97c69b7ce4e.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/fargo-hat-military-1-5983/cc61abae7abc2c2b2cd629290af6245a.jpg']",18,all,1,https://www.hippytree.com/shop/hats/fargo-hat/military/
Tahiti Hat,Style #2215-BLK,$22.50,$30.00,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Featuring photography by Chris Burkard. View more of his work on Instagram (@chrisburkard)', 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/tahiti-hat-black-4-2215-BLK-0.jpg-79ec/4e4abd22cc293b062904862c6512f459.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/tahiti-hat-black-4-2215-BLK-1.jpg-140e/c98259dface34268197f8f61edad2f25.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/tahiti-hat-black-4-2215-BLK-2.jpg-16c8/23e39d87846c45d1c576e2ce129b58cf.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/tahiti-hat-black-4-2215-BLK-3.jpg-f532/2574aea06385edef1599fcfe335084a3.jpg']",34,all,1,https://www.hippytree.com/shop/nature-photography-collective/tahiti-hat/black/
Thicket Hat,Style #2462-WAL,$26.00,$0,Walnut,['onesize'],"['Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Printed crown with foam lining', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '100% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-0.jpg-28fd/9f4c7512d5d26c94a337504b71c1937e.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-1.jpg-504b/9d7d9529cacd13412bee93c13f3ce34d.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-2.jpg-4098/9d134a2142e35019d9b95b5d830c76ca.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-3.jpg-330f/05d2f6e38a686d33917fdaf2d464f29a.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-4.jpg-ee40/39cb244344faa946da5e633a4b8db08c.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-5.jpg-dbda/f1eca9082774ff07b91b64faf071a46e.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/thicket-hat-walnut-2462-WAL-6.jpg-985f/9c5451536eabd06e5b59e99420a0b27c.jpg']",16,all,1,https://www.hippytree.com/shop/new-arrivals/thicket-hat/walnut/
Newport Hat,Style #2457-BLK,$30.00,$0,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Featuring photography by Bryce Lowe-White (@bryce_lowe_white)', 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/newport-hat-black-2-2457-BLK-0.jpg-2d5d/ccc97c7ec6efae82e8ffd1bebda20a69.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/newport-hat-black-2-2457-BLK-1.jpg-b3c5/3f9d80b4093416562fd2c18956bfc6ee.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/newport-hat-black-2-2457-BLK-2.jpg-2021/3029093411cd28f1667bb198203cf4c5.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/newport-hat-black-2-2457-BLK-3.jpg-7881/cd5d9768bc07747d5e1496e237433d63.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/newport-hat-black-1-2002/1059a81ee2078b952c3f63cecfab7fe3.jpg']",15,all,1,https://www.hippytree.com/shop/new-arrivals/newport-hat/black/
Perspective Hat,Style #2212-BLK,$22.50,$30.00,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Featuring photography by John Barton. View more of his work on Instagram (@johnnyjungle)', 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/perspective-hat-black-2212-BLK-0.jpg-b5bf/336e30b3c50ab64321e52fdc72cfde4b.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/perspective-hat-black-2212-BLK-1.jpg-6322/e5fd1c4dfa04160ebedab66046b00997.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/perspective-hat-black-2212-BLK-2.jpg-f8e9/18219d4f5bae5a0224001d77d50f3ec4.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/perspective-hat-black-1-25bb/ced7f2e31d38ed70a9fab7110e6154d9.jpg']",33,all,1,https://www.hippytree.com/shop/nature-photography-collective/perspective-hat/black/
Hidden Valley Hat,Style #2351-BLK,$30.00,$0,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Featuring photography by Cory Gehr (@corygehr)', 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/hidden-valley-hat-black-1-aff1/9dce379cbf043d8b1e4e13679edcfa89.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/hidden-valley-hat-black-3-2351-BLK-1.jpg-dcec/4cb04233a2b0a1ce1ba8e41168c3b36b.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/hidden-valley-hat-black-3-2351-BLK-2.jpg-8e27/ea621646d6be82c6fc7a8bf8964e0908.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/hidden-valley-hat-black-3-2351-BLK-3.jpg-e3eb/751eb549c933917e7cb37f4599277a56.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/hidden-valley-hat-black-2-140b/342cbfccb2f195808d3b799fc1a7121f.jpg']",14,all,1,https://www.hippytree.com/shop/new-arrivals/hidden-valley-hat/black/
Preserve Hat,Style #2365-CHA,$36.00,$0,Charcoal,['onesize'],"['Unstructured six panel mid-profile design', 'Heavy weight brushed twill exterior', 'Adjustable strap back with clip closure', 'Debossed leather patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Printed interior taped seams', '100% cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-charcoal-1-b30f/bf88a963f4e2c85cfe9c8fca34ea8142.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-charcoal-2-db12/a29a46a9301e55a90a5308c8baf0c65f.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-charcoal-3-a5f7/2174119f73715f3f44b7d1cc63e259ba.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-charcoal-4-6dfa/d841aaeca1e6a1b81010c168c22debf4.jpg']",25,all,1,https://www.hippytree.com/shop/hats/preserve-hat/charcoal/
