产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Baseball cap,0745222001,£10,£0,Black magic,['ONESIZE'],"['OK, bae. You&rsquo;re gonna love this baseball cap. It&rsquo;s totally ready to get down to business, but the white contrast stitching also says, OK, bae, let&rsquo;s have some fun.', 'Monki cares', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""https:\\/\\/bettercotton.org\\/what-does-our-logo-mean\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[02_0745222_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",2,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-cap-black.0745222001.html"
Baseball cap,0745222002,£10,£0,Beige checks,['ONESIZE'],"['Looking for a chic baseball cap that&rsquo;s a s great in the city as on the British countryside? Look no further than this baseball cap that is checked to perfection. Adjustable strap in the back.', 'Monki cares', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""https:\\/\\/bettercotton.org\\/what-does-our-logo-mean\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[02_0745222_002_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0745222_002_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019093]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0745222_002_993],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",2,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-cap-beige.0745222002.html"
Bucket hat,0705047010,£15,£0,Black and white checks,"['S/54', 'M/56', 'L/58']","['A black and white bucket hat with a wide, sloping brim and classic seam detailing. Checked to perfection &lt;3 Go get it gurl!']","['https://lp.monki.com/app002prod?set=source[02_0705047_010_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0705047_010_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0705047_010_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",4,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.bucket-hat-white.0705047010.html"
Mesh veil beret,0698242001,£10,£0,Black magic,['ONESIZE'],"[""A classic black beret with a mesh veil that will add a touch of je ne sais quoi to any outfit. We're sooo ready to stroll the streets of Paris in this darling &lt;3""]","['https://lp.monki.com/app002prod?set=source[01_0698242_001_101],type[ECOMLOOK],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[02_0698242_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",9,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.mesh-veil-beret-black.0698242001.html"
Classic beanie,0551954013,£6,£0,Two carrots orange,['ONESIZE'],"[""Snag some skater\\/snowboarder attitude with this classic beanie, featuring a thick and stretchy ribbed fabric. And yaas, it's in a fab orange shade &lt;3""]","['https://lp.monki.com/app002prod?set=source[02_0551954_013_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0551954_013_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",14,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-orange.0551954013.html"
Embroidered cap,0592871003,£8,£0,Sports car red,['ONESIZE'],"['Spread some love in this adjustable I &lt;3 U cap featuring a sports car red shade and a pig snout for added fun!', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""http:\\/\\/bettercotton.org\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[01_0592871_003_101],type[ECOMLOOK],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[02_0592871_003_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0592871_003_900],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",12,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-hat-red.0592871003.html"
Classic beanie,0551954012,£6,£0,Grey skies,['ONESIZE'],['A classic fold-up beanie for those days when you want to stay warm (but still look cool). Your ears will thank you.'],"['https://lp.monki.com/app002prod?set=source[02_0551954_012_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",14,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-grey.0551954012.html"
Classic beanie,0551954011,£6,£0,Must-have mustard,['ONESIZE'],"[""Snag some skater\\/snowboarder attitude with this classic beanie, featuring a thick and stretchy ribbed fabric. And yaas, it's in that must-have mustard colour.""]","['https://lp.monki.com/app002prod?set=source[02_0551954_011_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",14,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-yellow.0551954011.html"
Classic beanie,0551954008,£6,£0,Wine red,['ONESIZE'],['A classic ribbed fold-up beanie in a fab wine red shade. Perfect for those days when you want to stay warm (but still look cool). Say no more.'],"['https://lp.monki.com/app002prod?set=source[02_0551954_008_102],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",14,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-red.0551954008.html"
Peek-a-boo beanie,0499152004,£6,£0,Sports car red,['ONESIZE'],"[""Feelin' cold? This beanie says it all for you. With a super soft blend feel and statement eye embroidery.""]","['https://lp.monki.com/app002prod?set=source[02_0499152_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",18,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.peek-a-boo-beanie-red.0499152004.html"
Super-soft knitted beanie,0628416006,£8,£0,IT pink,['ONESIZE'],['A super-soft ribbed fold-up beanie for those days when you want to stay warm (but still look cool). Your ears will thank you. Light pink shade.'],"['https://lp.monki.com/app002prod?set=source[02_0628416_006_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",21,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-orange.0628416006.html"
Statement print beanie,0551954006,£6,£0,Feminist,['ONESIZE'],['A classic black ribbed fold-up beanie with a statement print. Perfect for those days when you want to stay warm (but still look cool). Say no more.'],"['https://lp.monki.com/app002prod?set=source[02_0551954_006_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",14,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-black.0551954006.html"
Tweed baker boy cap,0680200002,£15,£0,Dark grey melange,['ONESIZE'],['Channel your inner boss with this grey tweed baker boy cap with an elastic neck detail for added comfort &lt;3 Boom!'],"['https://lp.monki.com/app002prod?set=source[02_0680200_002_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",27,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-grey.0680200002.html"
Pom pom beanie,0673415002,£6,£0,Grey rocks,['ONESIZE'],['A classic fold-up beanie (or ball hat if you will) with a pom pom detail for those days when you want to stay warm (but still look cool). Fab grey shade.'],"['https://lp.monki.com/app002prod?set=source[02_0673415_002_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",25,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.pom-pom-beanie-grey.0673415002.html"
Faux shearling beret,0662507001,£18,£0,Milk tea beige,['ONESIZE'],"['This faux shearling beret adds some heat to your look (and your head). Perfect for when you want to channel chic French style, but don&rsquo;t want to compromise your style because of the cold. We all need a borg beret in our lives.']","['https://lp.monki.com/app002prod?set=source[02_0662507_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0662507_001_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",28,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.faux-shearling-beret-beige.0662507001.html"
