产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
LIG Oval Chill Cap,51580-OS,$12.99,$22.00,Night Black,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With artwork on the front in various applications, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on the back', 'Adjustable back closure with snap', 'Twill Patch']","['https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Oval-Chill-Cap_51580_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Oval-Chill-Cap_51580_2_lg.png']",1,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/lig-oval-chill-cap-51580.html?dwvar_51580_color=BK001&cgid=clearance-accessories-hats
LIG Oval Chill Cap,51582-OS,$9.99,$22.00,Darkest Blue,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With artwork on the front in various applications, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on the back', 'Adjustable back closure with snap', 'Felt Patch']","['https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Oval-Chill-Cap_51582_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Oval-Chill-Cap_51582_2_lg.png']",2,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/lig-oval-chill-cap-51582.html?dwvar_51582_color=DRKSB&cgid=clearance-accessories-hats
Sketched Daisy Chill Cap,51591-OS,$12.99,$22.00,Cool Aqua,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With artwork on the front in various applications, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on the back', 'Adjustable back closure with snap']","['https://d3o2e4jr3mxnm3.cloudfront.net/Sketched-Daisy-Chill-Cap_51591_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Sketched-Daisy-Chill-Cap_51591_2_lg.png']",3,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/sketched-daisy-chill-cap-51591.html?dwvar_51591_color=04535&cgid=clearance-accessories-hats
Fish Stitch Sunwashed Chill Cap,51602-OS,$17.99,$26.00,Night Black,['One Size'],"['Sun-washed for a naturally faded look, this laidback style has endless summers ahead of it, with intentional discoloration and grinding at the brim and seams.', '100% Cotton Twill', 'Sun washed for intentional discoloration and faded appearance', 'Grinding gives a worn look on the bill and at the seams', 'Heavy top stitching and Life is Good label in the back', 'Six panel unstructured low-mid crown and four rows of stitching on the brim']","['https://d3o2e4jr3mxnm3.cloudfront.net/Fish-Stitch-Sunwashed-Chill-Cap_51602_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Fish-Stitch-Sunwashed-Chill-Cap_51602_2_lg.png']",4,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/fish-stitch-sunwashed-chill-cap-51602.html?dwvar_51602_color=BK001&cgid=clearance-accessories-hats
Flip Flop Scene Sunwashed Chill Cap,51606-OS,$17.99,$26.00,Bone,['One Size'],"['Sun-washed for a naturally faded look, this laidback style has endless summers ahead of it, with intentional discoloration and grinding at the brim and seams.', '100% Cotton Twill', 'Sun washed for intentional discoloration and faded appearance', 'Grinding gives a worn look on the bill and at the seams', 'Heavy top stitching and Life is Good label in the back', 'Six panel unstructured low-mid crown and four rows of stitching on the brim', 'Embroidered graphic', 'Life is Good on the brim']","['https://d3o2e4jr3mxnm3.cloudfront.net/Flip-Flop-Scene-Sunwashed-Chill-Cap_51606_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Flip-Flop-Scene-Sunwashed-Chill-Cap_51606_2_lg.png']",5,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/flip-flop-scene-sunwashed-chill-cap-51606.html?dwvar_51606_color=BONE&cgid=clearance-accessories-hats
Heart Flag Sunwashed Chill Cap,51610-OS,$17.99,$26.00,Slate Gray,['One Size'],"['Sun-washed for a naturally faded look, this laidback style has endless summers ahead of it, with intentional discoloration and grinding at the brim and seams.', '100% Cotton Twill', 'Sun washed for intentional discoloration and faded appearance', 'Grinding gives a worn look on the bill and at the seams', 'Heavy top stitching and Life is Good label in the back', 'Six panel unstructured low-mid crown and four rows of stitching on the brim', 'Chain stitch embroidery', 'Life is Good on the brim']","['https://d3o2e4jr3mxnm3.cloudfront.net/Heart-Flag-Sunwashed-Chill-Cap_51610_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Heart-Flag-Sunwashed-Chill-Cap_51610_2_lg.png']",6,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/heart-flag-sunwashed-chill-cap-51610.html?dwvar_51610_color=04518&cgid=clearance-accessories-hats
Ballyard Script Tattered Chill Cap,51623-OS,$12.99,$24.00,Darkest Blue,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With an embroidered tattered graphic on the front, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel unstructured low-mid crown with four rows of stitching on the brim', 'Life is Good label on the back', 'Adjustable back closure with snap', 'Embroidered tattered patch']","['https://d3o2e4jr3mxnm3.cloudfront.net/Ballyard-Script-Tattered-Chill-Cap_51623_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Ballyard-Script-Tattered-Chill-Cap_51623_2_lg.png']",7,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/ballyard-script-tattered-chill-cap-51623.html?dwvar_51623_color=DRKSB&cgid=clearance-accessories-hats
Daisy Tattered Chill Cap,51625-OS,$14.99,$24.00,Pop Pink,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With an embroidered tattered graphic on the front, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel unstructured low-mid crown with four rows of stitching on the brim', 'Life is Good label on the back', 'Adjustable back closure with snap', 'Twill tattered patch']","['https://d3o2e4jr3mxnm3.cloudfront.net/Daisy-Tattered-Chill-Cap_51625_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Daisy-Tattered-Chill-Cap_51625_2_lg.png']",8,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/daisy-tattered-chill-cap-51625.html?dwvar_51625_color=08247&cgid=clearance-accessories-hats
Heart Tattered Chill Cap,51626-OS,$14.99,$24.00,Fresh Coral,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With an embroidered tattered graphic on the front, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel unstructured low-mid crown with four rows of stitching on the brim', 'Life is Good label on the back', 'Adjustable back closure with snap', 'Twill tattered patch', 'Life is Good on the brim']","['https://d3o2e4jr3mxnm3.cloudfront.net/Heart-Tattered-Chill-Cap_51626_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Heart-Tattered-Chill-Cap_51626_2_lg.png']",9,all,1,https://www.lifeisgood.com/sale/accessories/hats-and-headwear/heart-tattered-chill-cap-51626.html?dwvar_51626_color=09832&cgid=clearance-accessories-hats
