产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
SLODOWN HAT,SP9196019|NVY|S/M,$26.00,$0,NAVY,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit X hat', 'Stretch cotton twill design', 'Logo embroidery at lower right front panel', 'Rear logo embroidery', '98% Cotton, 2% Elastane\n']","['https://cdn.shopify.com/s/files/1/2034/7683/products/slodownhat_SP9196019_blu2_f.jpg?v=1545263907', 'https://cdn.shopify.com/s/files/1/2034/7683/products/slodownhat_SP9196019_blu2_b.jpg?v=1545263907']",11,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196019-nvy-slodown-hat
SLODOWN HAT,SP9196019|HGR|S/M,$26.00,$0,HEATHER GREY,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit X hat', 'Stretch cotton twill design', 'Logo embroidery at lower right front panel', 'Rear logo embroidery', '98% Cotton, 2% Elastane']","['https://cdn.shopify.com/s/files/1/2034/7683/products/slodownhat_SP9196019_hgr_f_ea2f1ede-7d36-4a33-b8b8-d7424c1ecd6b.jpg?v=1545169592', 'https://cdn.shopify.com/s/files/1/2034/7683/products/slodownhat_SP9196019_hgr_b.jpg?v=1545263858']",12,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196019-hgr-slodown-hat
SIMMONS SURF HAT,SP9192001|LKH|ONE,$35.00,$0,LIGHT KHAKI,['ONE SIZE'],"['O-Neill Men-s surf hat', 'Light weight poly feel with UPF50 protection', 'Moisture wicking sweatband', 'Metal mesh eyelets', 'Detachable drawcord', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/simmonssurfhat_SP9192001_lkh_f_e370844c-d364-4788-a18c-32caa5df1423.jpg?v=1545169544'],13,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9192001-lkh-simmons-surf-hat
SIMMONS SURF HAT,SP9192001|DCH|ONE,$35.00,$0,ASPHALT,['ONE SIZE'],"['O-Neill Men-s surf hat', 'Light weight poly feel with UPF50 protection', 'Moisture wicking sweatband', 'Metal mesh eyelets', 'Detachable drawcord', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/simmonssurfhat_SP9192001_dch_f_08cb6f0d-33e5-406b-b9ac-db8a57222188.jpg?v=1545169543'],14,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9192001-dch-simmons-surf-hat
WETLANDS HAT,SP8192002|GRY|ONE,$26.00,$0,GREY,['ONE SIZE'],"['O-Neill Men-s bushmaster hat', 'Front logo patch', 'Side embroidered eyelets', 'Adjustable drawcord', '100% Polyester ']",['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_dch_f.jpg?v=1545180118'],15,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-gry-wetlands-hat
WETLANDS HAT,SP8192002|KHA|ONE,$26.00,$0,KHAKI,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_f.jpg?v=1540262370', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_1.jpg?v=1547055617', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_2.jpg?v=1547055618', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_f.jpg?v=1547055619', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_2.jpg?v=1547055620', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_3.jpg?v=1547055621', 'https://cdn.shopify.com/s/files/1/2034/7683/products/wetlands_SP8192002_kha_b.jpg?v=1547055622']",16,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-kha-wetlands-hat
ROCKAWAY TRUCKER HAT,SP9196012|CAM|ONE,$25.00,$0,CAMO,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 5 panel design', 'Structured polyester design with back mesh panels', 'Snapback closure', 'Front woven label', 'Rear flag label', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/rockawaytruck_SP9196012_cam_f_38194587-b07e-43d7-b035-74ea92b8c857.jpg?v=1545169570'],17,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196012-cam-rockaway-trucker
ROCKAWAY TRUCKER HAT,SP9196012|NVY|ONE,$25.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 5 panel design', 'Structured polyester design with back mesh panels', 'Snapback closure', 'Front woven label', 'Rear flag label', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/rockawaytrucker_SP9196012_nvy_f_21bed728-ffae-44b0-a545-87c942aa63c5.jpg?v=1545169571'],18,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196012-nvy-rockaway-trucker
DEEPEND TRUCKER HAT,SP9196014|BLK|ONE,$20.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Tall profile, 5 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Visor rope', 'Front printed label', 'Rear flag label', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/deependtrucker_SP9196014_blk_f_fa56693b-0c24-4e74-a5b6-321e604b6593.jpg?v=1545169579'],19,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196014-blk-deepend-trucker
DEEPEND TRUCKER HAT,SP9196014|NVY|ONE,$20.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Tall profile, 5 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Visor rope', 'Front printed label', 'Rear flag label', '100% Polyester\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/deependtrucker_SP9196014_nvy_f_b145d9dc-e1ef-4ef4-88ac-85c01867dc88.jpg?v=1545169582'],20,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196014-nvy-deepend-trucker
MIDDLETON BEANIE,HO8191002|BLK|ONE,$20.99,$28.00,BLACK,['ONE SIZE'],"['O-Neill Men-s reversible slouch beanie', 'Ribbed knit', 'Woven label', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/2034/7683/products/middleton_HO8191002_blk_f_8e7aa1f6-01ed-4d5f-9c7d-6232a15bd201.jpg?v=1537290980', 'https://cdn.shopify.com/s/files/1/2034/7683/products/middleton_HO8191002_blk_2.jpg?v=1537833709']",21,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8191002-blk-middleton
CIRCLED HAT,SP9196015|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s hat', 'Mid-profile, 6 panel design', 'Structured wool design with back mesh panels', 'Snapback closure', 'Front woven label patch', 'Rear flag label', '85% Acrylic, 15% Wool']",['https://cdn.shopify.com/s/files/1/2034/7683/products/circled_SP9196015_blk_f_5a56d6c1-3afa-4ddc-b9d7-0592872e622d.jpg?v=1545169584'],22,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196015-blk-circled
THE 45'S HAT,SP9196007|NVY|ONE,$28.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Lo-profile, 6 panel design', 'Soft twill design', 'Front chainstitch logo patch', 'Rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/the45s_SP9196007_nvy_f_9d13eb43-e6ae-48bb-bb76-c5dc2b0db594.jpg?v=1545169561'],23,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196007-nvy-the-45s
