产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
CLMWM BEANIE 针织帽,DM4412,¥99,0,黑/黑/深银灰,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/15390513996471071_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513905187592_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513951955587_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513925174422_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513866301291_500X500.jpg']",中性 运动表现 训练,1,men,1,none,https://www.adidas.com.cn/item/DM4412?locale=zh_CN
NEW USHANKA 针织帽,CY6019,¥299,0,黑/黑/黑 ,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/8/15390003192229817_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003220062738_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003146583169_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003252597406_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003170341358_500X500.jpg']",中性 运动表现 训练,2,men,1,none,https://www.adidas.com.cn/item/CY6019?locale=zh_CN
ZNE PAR CLMWM B 针织帽,CY6018,¥249,0,黑/传奇墨水蓝/传奇墨水蓝,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/15390526769476303_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/153905268184536_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390526787027464_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390526836374718_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390526858459078_500X500.jpg']",中性 运动表现 训练,3,men,1,none,https://www.adidas.com.cn/item/CY6018?locale=zh_CN
CIMAWARM BEANIE 针织帽,CY6010,¥169,0,黑/碳黑/中麻灰 纯质灰,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/1539049729767919_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497278672683_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497212325862_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497318605059_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497234518870_500X500.jpg']",中性 运动表现 训练,4,men,1,none,https://www.adidas.com.cn/item/CY6010?locale=zh_CN
3S WOOLIE 针织帽,BR9921,¥129,0,黑/黑/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/15390495315769880_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495465257778_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495434731872_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495406349669_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495270297456_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495333676130_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495293453710_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495366793415_500X500.jpg']",中性 运动表现 训练,5,men,1,none,https://www.adidas.com.cn/item/BR9921?locale=zh_CN
OYSTER CAP 帽子,DP0246,¥399,0,黑,['NS'],"[' adidas Originals与生活时尚品牌Oyster Holdings™联手，力求打造适合周末出行的运动服饰。这款帽子，采用格子布面料，可转换设计，旨在伴你面对骄阳。Oyster Holdings，Oyster Holdings™创立于2004年，力求为现代旅行家营造时尚和舒适的新领域，可转换设计，帽后加长可遮盖后领，也可翻折入帽冠 ', '锦纶', '预成型弧形帽檐', '弹力搭扣']","['https://img.adidas.com.cn/resources/2018/9/21/15375222977179466_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/21/15375223066363869_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/21/15375222994821700_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/21/15375223033491809_500X500.jpg']",男子 ORIGINALS ,6,men,1,none,https://www.adidas.com.cn/item/DP0246?locale=zh_CN
BLO BEANIE 针织帽,DM8756,¥149,0,琥珀,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/17/15371829842234935_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537182973990642_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829787167856_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829808643224_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829757478523_500X500.jpg']",中性 运动表现 训练,7,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/26', 'goods_comment_comment': '略微紧了一些，但是很暖和！\n款式很时尚！'}]",https://www.adidas.com.cn/item/DM8756?locale=zh_CN
BLO BEANIE 针织帽,DM8754,¥149,0,学院藏青蓝,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372090709952898_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537209081465184_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090769761262_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090747689124_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090791336318_500X500.jpg']",中性 运动表现 训练,8,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/26', 'goods_comment_comment': '略微紧了一些，但是很暖和！\n款式很时尚！'}]",https://www.adidas.com.cn/item/DM8754?locale=zh_CN
BLO BEANIE 针织帽,DM8742,¥149,0,黑,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372321294828062_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321256695018_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321324839001_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321231158190_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537232127416943_500X500.jpg']",中性 运动表现 训练,9,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/26', 'goods_comment_comment': '略微紧了一些，但是很暖和！\n款式很时尚！'}]",https://www.adidas.com.cn/item/DM8742?locale=zh_CN
PERF WOOLIE 针织帽,DJ1058,¥99,0,中麻灰/中麻灰 纯质灰/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371828265783734_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828360042320_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828315383555_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828337577932_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828293207085_500X500.jpg']",中性 运动表现 训练,10,men,1,"[{'goods_comment_star': 4, 'goods_comment_time': '2018/10/02', 'goods_comment_comment': '用积分换的，不是很厚那种，出行戴戴还是够的'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/10/01', 'goods_comment_comment': '以为是直筒帽子，结果也是翻起来的！'}]",https://www.adidas.com.cn/item/DJ1058?locale=zh_CN
FCB BEANIE CL 拜仁慕尼黑足球帽,DI0239,¥149,0,红/墨绿,['OSFM'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372368178315798_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368242704152_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368219471782_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368196043572_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537236826966642_500X500.jpg']",中性 运动表现 足球,11,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/21', 'goods_comment_comment': '很喜欢拜仁的帽子，带上很舒服，很喜欢拜仁的帽子，带上很舒服'}]",https://www.adidas.com.cn/item/DI0239?locale=zh_CN
FLAP CAP 帽子,DH3304,¥399,0,黑,"['OSFW', 'OSFM']","[' 这款帽子，摩登演绎复古户外造型，旨在为街头范注入新意。采用Gore Windstopper®面料，搭配可折叠绒面遮耳片，力求为你在寒日带来舒适。 ', '聚酯纤维', '平檐', '五片式结构']","['https://img.adidas.com.cn/resources/2018/9/17/15371693209743979_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693226659832_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169328993454_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693256982597_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693154263630_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169318460201_500X500.jpg']",中性 ORIGINALS ,12,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/10/07', 'goods_comment_comment': '保暖性很好，秋冬戴正合适，款式也很个性。'}]",https://www.adidas.com.cn/item/DH3304?locale=zh_CN
BASEBALL CAP 帽子,DH3301,¥299,0,黑,"['OSFW', 'OSFM']","[' 这款棒球帽，缀黑白Atric标，旨在呈现都市户外风。采用羊毛混纺面料，含预成型帽檐，时尚有型。 ', '预成型低度弧形帽檐', '后束带配金属扣', '帽冠缀Atric徽标', '斜纹棉布汗带']","['https://img.adidas.com.cn/resources/2018/9/17/15371689727698372_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689693282784_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689824857659_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689757162686_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689649164409_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689792397603_500X500.jpg']",中性 ORIGINALS ,13,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/27', 'goods_comment_comment': '帽子不错，款式也挺好，面料适合天冷。'}]",https://www.adidas.com.cn/item/DH3301?locale=zh_CN
TREF HERIT TRU 帽子,D98935,¥299,0,黑/黑,"['OSFW', 'OSFM']","[' 这款卡车司机帽，以adidas往日款型为灵感，面料舒适，含空气网材幅面和刺绣三叶草徽标。含平檐，旨在助你调整造型。 ', '聚酯纤维', '平檐', '按扣带']","['https://img.adidas.com.cn/resources/2018/9/17/15371696216857398_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696139254453_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696080097113_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696182457913_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696112383184_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169615710455_500X500.jpg']",中性 ORIGINALS ,14,men,1,none,https://www.adidas.com.cn/item/D98935?locale=zh_CN
BEANIE GR 户外帽,CY6074,¥269,0,夜空红/酱紫/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371575603995424_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537157555494137_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371575533628063_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537157557371764_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371575510894072_500X500.jpg']",中性 运动表现 户外,15,men,1,none,https://www.adidas.com.cn/item/CY6074?locale=zh_CN
BEANIE GR 户外帽,CY6073,¥269,0,完美蓝 / 蓝 /白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371573845512079_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371573932589712_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371573886733415_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371573910772031_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371573951662045_500X500.jpg']",中性 运动表现 户外,16,men,1,none,https://www.adidas.com.cn/item/CY6073?locale=zh_CN
PERF WOOLIE 针织帽,CY6026,¥99,0,黑/黑/中麻灰 纯质灰,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371826679608383_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371826697866362_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371826716535376_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371826739083464_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371826762066796_500X500.jpg']",中性 运动表现 训练,17,men,1,"[{'goods_comment_star': 4, 'goods_comment_time': '2018/10/02', 'goods_comment_comment': '用积分换的，不是很厚那种，出行戴戴还是够的'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/10/01', 'goods_comment_comment': '以为是直筒帽子，结果也是翻起来的！'}]",https://www.adidas.com.cn/item/CY6026?locale=zh_CN
LOGO WOOLIE 针织帽,CY6012,¥149,0,黑/黑/中麻灰 纯质灰,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/18/15372338222765744_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372338203604584_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372338179631031_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537233824404898_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372338156466380_500X500.jpg']",中性 运动表现 训练,18,men,1,none,https://www.adidas.com.cn/item/CY6012?locale=zh_CN
REAL 3S WOOLIE 皇马足球帽,CY5599,¥149,0,侦探灰黑/白,['OSFM'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372354290811564_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372354394705082_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372354367229031_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372354311323613_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372354338836215_500X500.jpg']",中性 运动表现 足球,19,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/28', 'goods_comment_comment': '很好！！！！！！！！！！！！！！'}]",https://www.adidas.com.cn/item/CY5599?locale=zh_CN
CLMWM BEANIE 针织帽,DM4412,¥99,0,黑/黑/深银灰,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/15390513996471071_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513905187592_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513951955587_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513925174422_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513866301291_500X500.jpg']",中性 运动表现 训练,1,women,2,none,https://www.adidas.com.cn/item/DM4412?locale=zh_CN
NEW USHANKA 针织帽,CY6019,¥299,0,黑/黑/黑 ,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/8/15390003192229817_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003220062738_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003146583169_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003252597406_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/8/15390003170341358_500X500.jpg']",中性 运动表现 训练,2,women,2,none,https://www.adidas.com.cn/item/CY6019?locale=zh_CN
ZNE PAR CLMWM B 针织帽,CY6018,¥249,0,黑/传奇墨水蓝/传奇墨水蓝,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/15390526769476303_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/153905268184536_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390526787027464_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390526836374718_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390526858459078_500X500.jpg']",中性 运动表现 训练,3,women,2,none,https://www.adidas.com.cn/item/CY6018?locale=zh_CN
CIMAWARM BEANIE 针织帽,CY6010,¥169,0,黑/碳黑/中麻灰 纯质灰,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/1539049729767919_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497278672683_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497212325862_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497318605059_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390497234518870_500X500.jpg']",中性 运动表现 训练,4,women,2,none,https://www.adidas.com.cn/item/CY6010?locale=zh_CN
3S WOOLIE 针织帽,BR9921,¥129,0,黑/黑/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/9/15390495315769880_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495465257778_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495434731872_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495406349669_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495270297456_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495333676130_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495293453710_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390495366793415_500X500.jpg']",中性 运动表现 训练,5,women,2,none,https://www.adidas.com.cn/item/BR9921?locale=zh_CN
BLO BEANIE 针织帽,DM8756,¥149,0,琥珀,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/17/15371829842234935_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537182973990642_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829787167856_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829808643224_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829757478523_500X500.jpg']",中性 运动表现 训练,6,women,2,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/26', 'goods_comment_comment': '略微紧了一些，但是很暖和！\n款式很时尚！'}]",https://www.adidas.com.cn/item/DM8756?locale=zh_CN
BLO BEANIE 针织帽,DM8754,¥149,0,学院藏青蓝,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372090709952898_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537209081465184_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090769761262_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090747689124_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090791336318_500X500.jpg']",中性 运动表现 训练,7,women,2,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/26', 'goods_comment_comment': '略微紧了一些，但是很暖和！\n款式很时尚！'}]",https://www.adidas.com.cn/item/DM8754?locale=zh_CN
BLO BEANIE 针织帽,DM8742,¥149,0,黑,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372321294828062_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321256695018_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321324839001_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321231158190_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537232127416943_500X500.jpg']",中性 运动表现 训练,8,women,2,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/26', 'goods_comment_comment': '略微紧了一些，但是很暖和！\n款式很时尚！'}]",https://www.adidas.com.cn/item/DM8742?locale=zh_CN
PERF WOOLIE 针织帽,DJ1058,¥99,0,中麻灰/中麻灰 纯质灰/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371828265783734_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828360042320_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828315383555_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828337577932_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828293207085_500X500.jpg']",中性 运动表现 训练,9,women,2,"[{'goods_comment_star': 4, 'goods_comment_time': '2018/10/02', 'goods_comment_comment': '用积分换的，不是很厚那种，出行戴戴还是够的'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/10/01', 'goods_comment_comment': '以为是直筒帽子，结果也是翻起来的！'}]",https://www.adidas.com.cn/item/DJ1058?locale=zh_CN
FCB BEANIE CL 拜仁慕尼黑足球帽,DI0239,¥149,0,红/墨绿,['OSFM'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372368178315798_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368242704152_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368219471782_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368196043572_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537236826966642_500X500.jpg']",中性 运动表现 足球,10,women,2,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/21', 'goods_comment_comment': '很喜欢拜仁的帽子，带上很舒服，很喜欢拜仁的帽子，带上很舒服'}]",https://www.adidas.com.cn/item/DI0239?locale=zh_CN
FLAP CAP 帽子,DH3304,¥399,0,黑,"['OSFW', 'OSFM']","[' 这款帽子，摩登演绎复古户外造型，旨在为街头范注入新意。采用Gore Windstopper®面料，搭配可折叠绒面遮耳片，力求为你在寒日带来舒适。 ', '聚酯纤维', '平檐', '五片式结构']","['https://img.adidas.com.cn/resources/2018/9/17/15371693209743979_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693226659832_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169328993454_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693256982597_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693154263630_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169318460201_500X500.jpg']",中性 ORIGINALS ,11,women,2,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/10/07', 'goods_comment_comment': '保暖性很好，秋冬戴正合适，款式也很个性。'}]",https://www.adidas.com.cn/item/DH3304?locale=zh_CN
BASEBALL CAP 帽子,DH3301,¥299,0,黑,"['OSFW', 'OSFM']","[' 这款棒球帽，缀黑白Atric标，旨在呈现都市户外风。采用羊毛混纺面料，含预成型帽檐，时尚有型。 ', '预成型低度弧形帽檐', '后束带配金属扣', '帽冠缀Atric徽标', '斜纹棉布汗带']","['https://img.adidas.com.cn/resources/2018/9/17/15371689727698372_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689693282784_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689824857659_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689757162686_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689649164409_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689792397603_500X500.jpg']",中性 ORIGINALS ,12,women,2,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/09/27', 'goods_comment_comment': '帽子不错，款式也挺好，面料适合天冷。'}]",https://www.adidas.com.cn/item/DH3301?locale=zh_CN
