产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Kith Serif Beanie,KH9290-105,$50.0,$0.0,Shark,['OS'],"['Acrylic fabric', 'Embroidered Kith serif logo on front', 'Style: KH9290-105', 'Color: Shark', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3804.jpg?v=1544740292', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3805_7c659158-1ef2-4a6b-8e66-c7bf39bc8ef7.jpg?v=1544740295']",10,men,1,https://kith.com/products/kith-serif-beanie-shark
Kith Serif Beanie,KH9290-100,$50.0,$0.0,Black,['OS'],"['Acrylic fabric', 'Embroidered Kith serif logo on front', 'Style: KH9290-100', 'Color: Black', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3804-2.jpg?v=1544740249', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3805-2.jpg?v=1544740252']",11,men,1,https://kith.com/products/kith-serif-beanie-black
Kith Crest Flat Cap,KH5188-110,$60.0,$0.0,Navy / Red,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Embroidered logo', 'Strap back closure', 'Gold hardware', 'Style: KH5188-110', 'Color: Navy / Red', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1155_bb04b097-7727-4aff-bf6f-3610f173beb9.jpg?v=1540494665', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1156_affcdafa-ab5a-448e-b62d-1357c2d697b1.jpg?v=1540494667', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1157_ed48607c-b599-495e-95b3-aea3e1c809c4.jpg?v=1540494669']",12,men,1,https://kith.com/products/kith-crest-flat-cap-navy-red
Kith Crest Flat Cap,KH5188-102,$60.0,$0.0,Navy / Blue,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Embroidered logo', 'Strap back closure', 'Gold hardware', 'Style: KH5188-102', 'Color: Navy / Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1159_adbae6bb-21b5-4319-8ebd-68743f21001a.jpg?v=1540477429', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1160_fc37d6dc-9143-4f3f-95ac-082e23654a3f.jpg?v=1540477431', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1161_de77a7c3-a294-40ab-b678-109b49265380.jpg?v=1540477433']",13,men,1,https://kith.com/products/kith-crest-flat-cap-navy-blue
Kith Wreath Blackwatch Cap,KH5183-109,$60.0,$0.0,Navy / Blue,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Custom woven patch', 'Gold hardware', 'Style: KH5183-109', 'Color: Navy / Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1141_eaf2acac-307e-425d-89c5-95bb849586f4.jpg?v=1540498326', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1142_a3de4112-4d17-4bea-9574-46457cc15467.jpg?v=1540498328', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1143_d2d7a3b4-111a-4d28-ab4d-e237b31e3b63.jpg?v=1540498330']",14,men,1,https://kith.com/products/kith-wreath-blackwatch-cap-navy-blue
Kith Wreath Blackwatch Cap,KH5183-106,$60.0,$0.0,Navy / Green,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Custom woven patch', 'Gold hardware', 'Style: KH5183-106', 'Color: Navy / Green', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1137_d9bbcb28-f6ed-4070-a852-c5db63101c18.jpg?v=1540498481', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1138_651f27ad-ae61-47f0-b959-3a25a14ea047.jpg?v=1540498483', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1139_0a4e8df9-a612-4737-bc40-c3a962a29d77.jpg?v=1540498484']",15,men,1,https://kith.com/products/kith-wreath-blackwatch-cap-navy-green
Kith x Kangol Wool 504s Driver Hat,KAK3369SM,$98.0,$0.0,Navy,"['S', 'M', 'L', 'XL']","['Wool fabric', '100% seamless design', '1 1/2"" brim', 'Flat crown', '504 name comes from the block number it was made on', 'Embroidered co-branded Kith logo on rear', 'strong>S = 55cm = 6 7/8</strong><br><strong>M = 57cm = 7 1/8</strong><br><strong>L = 59cm = 7 3/8</strong', 'Style: KAK3369SM', 'Color: Navy', 'Material: Wool']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_0704_e5c13b34-8fb9-4866-9ef4-7588e6e7ebec.jpg?v=1538750291', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_0701_5b9f3322-6662-4eae-8506-8da58f6dc878.jpg?v=1538750291', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_0702_53ea5684-d559-4255-8895-e2fac8dd81a5.jpg?v=1538750291']",16,men,1,https://kith.com/products/kith-x-kangol-wool-504s-driver-hat-navy
Nike NSW Beanie ACG,NKAV4775.010,$30.0,$0.0,Black,['OS'],"['span>Acrylic and w >ool  blend  >fabric', 'span>Cuffed design for a snug fit', 'span>Folded rim >', 'span>ACG logo', 'Style:  NKAV4775.010', 'Color: Black', 'Material:  70% Acrylic / 30% Wool']","['http://cdn.shopify.com/s/files/1/0094/2252/products/NKAV4775.010-1.jpg?v=1544626439', 'http://cdn.shopify.com/s/files/1/0094/2252/products/NKAV4775.010-2.jpg?v=1544626441']",17,men,1,https://kith.com/products/nike-u-nsw-beanie-acg-black
Ader Error Wide Brim Cap with Deep Girt,AE18AFWCA02NV3,$102.0,$0.0,Navy,['OS'],"['Canvas fabric', 'Embroidered logo on chest', 'Rear strapback closure', 'Metal hardware', 'Style: AE18AFWCA02NV3', 'Color: Navy', 'Material: Canvas']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02NV3-1.jpg?v=1540335062', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02NV3-2.jpg?v=1540335062', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02NV3-3.jpg?v=1540335062']",18,men,1,https://kith.com/products/ader-error-wide-brim-cap-with-deep-girt-navy
Ader Error Wide Brim Cap with Deep Girt,AE18AFWCA02BK3,$102.0,$0.0,Black,['OS'],"['Canvas fabric', 'Embroidered logo on chest', 'Rear strapback closure', 'Metal hardware', 'Style: AE18AFWCA02BK3', 'Color: Black', 'Material: Canvas']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02BK3-1.jpg?v=1540335445', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02BK3-2.jpg?v=1540335447', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02BK3-3.jpg?v=1540335448']",19,men,1,https://kith.com/products/ader-error-wide-brim-cap-with-deep-girt-black
Ader Error Basic Knit Beanie,AE18AFWKO04BK3-BLACK,$102.0,$0.0,Black,['OS'],"['Cotton fabric', 'Ribbed brim', 'Rubberized Ader logo patch', 'Stitch detail on rear', 'Style: AE18AFWKO04BK3-BLACK', 'Color: Black', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKA04BK3-BLACK-1.jpg?v=1540335290', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKA04BK3-BLACK-2.jpg?v=1540335293', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKA04BK3-BLACK-3.jpg?v=1540335296']",20,men,1,https://kith.com/products/ader-error-basic-knit-beanie-black
