产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
BLO BEANIE 针织帽,DM8756,¥149,0,琥珀,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/17/15371829842234935_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537182973990642_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829787167856_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829808643224_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371829757478523_500X500.jpg']",中性 运动表现 训练,1,men,1,none,https://www.adidas.com.cn/item/DM8756?locale=zh_CN
BLO BEANIE 针织帽,DM8754,¥149,0,学院藏青蓝,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372090709952898_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537209081465184_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090769761262_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090747689124_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372090791336318_500X500.jpg']",中性 运动表现 训练,2,men,1,none,https://www.adidas.com.cn/item/DM8754?locale=zh_CN
BLO BEANIE 针织帽,DM8742,¥149,0,黑,['M'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372321294828062_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321256695018_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321324839001_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372321231158190_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537232127416943_500X500.jpg']",中性 运动表现 训练,3,men,1,none,https://www.adidas.com.cn/item/DM8742?locale=zh_CN
PERF WOOLIE 针织帽,DJ1058,¥99,0,中麻灰/中麻灰 纯质灰/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371828265783734_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828360042320_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828315383555_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828337577932_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371828293207085_500X500.jpg']",中性 运动表现 训练,4,men,1,none,https://www.adidas.com.cn/item/DJ1058?locale=zh_CN
FCB BEANIE CL 拜仁慕尼黑足球帽,DI0239,¥149,0,红/墨绿,['OSFM'],[],"['https://img.adidas.com.cn/resources/2018/9/18/15372368178315798_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368242704152_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368219471782_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/15372368196043572_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/18/1537236826966642_500X500.jpg']",中性 运动表现 足球,5,men,1,none,https://www.adidas.com.cn/item/DI0239?locale=zh_CN
FLAP CAP 帽子,DH3304,¥399,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371693209743979_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693226659832_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169328993454_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693256982597_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371693154263630_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169318460201_500X500.jpg']",中性 ORIGINALS ,6,men,1,none,https://www.adidas.com.cn/item/DH3304?locale=zh_CN
BASEBALL CAP 帽子,DH3301,¥299,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371689727698372_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689693282784_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689824857659_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689757162686_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689649164409_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371689792397603_500X500.jpg']",中性 ORIGINALS ,7,men,1,none,https://www.adidas.com.cn/item/DH3301?locale=zh_CN
TREF HERIT TRU 帽子,D98935,¥299,0,黑/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371696216857398_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696139254453_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696080097113_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696182457913_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371696112383184_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537169615710455_500X500.jpg']",中性 ORIGINALS ,8,men,1,none,https://www.adidas.com.cn/item/D98935?locale=zh_CN
BEANIE GR 户外帽,CY6074,¥269,0,夜空红/酱紫/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/9/17/15371575603995424_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537157555494137_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371575533628063_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/1537157557371764_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/9/17/15371575510894072_500X500.jpg']",中性 运动表现 户外,9,men,1,none,https://www.adidas.com.cn/item/CY6074?locale=zh_CN
